"Категория;";"Имя продукта;";"Код продукта;";"Цена, бел.руб;"; Цена, бел.руб 
Ноутбуки ASUS;ASUS UT250 MOUSE/WH/V2/USB OPTICAL;079834; 74 064 ; 61 720 
Ноутбуки ASUS;ASUS WX-LAMBOR MOUSE/YW/2.4GHZ LASER/10PCS;087902; 300 888 ; 250 740 
Ноутбуки ASUS;Asus EEE Pad TF300T 1A/T30L/32G/1G/W/CN/N/P29/WW KL;095369; 4 651 056 ; 3 875 880 
Ноутбуки ASUS;Asus EEE Pad TF300T 1K/T30L/32G/1G/W/CN/N/M22/RU/P29/WW;096885; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1A/T30L/32G/1G/W/CN/G/N/P29/WW KL;096824; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1G/T30L/32G/1G/W/CN/G/N/P29/WW;097570; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1K/T30L/32G/1G/W/CN/G/N/P29/WW KL;096823; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1A/T30L/32G/1G/W/CN/G/N/M22/RU/P29/WW KL;095494; 6 797 700 ; 5 664 750 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1G/T30L/32G/1G/W/CN/G/N/M22/RU/P29/WW;097571; 6 797 700 ; 5 664 750 
Ноутбуки ASUS;Asus EEE Pad TF300TG 1K/T30L/32G/1G/W/CN/G/N/M22/RU/P29/WW;093647; 6 797 700 ; 5 664 750 
Ноутбуки ASUS;Asus EEE Pad TF700T 1B/T33/64G/1G/W/CN/N/M/29/RU/P33/WW;096833; 7 930 656 ; 6 608 880 
Ноутбуки ASUS;Asus EEE Pad TF700T 1I/T33/64G/1G/W/CN/N/M/29/RU/P33/WW;096892; 7 930 656 ; 6 608 880 
Ноутбуки ASUS;Asus EEE PC X101CH N2600/320D/1G/RU/1B/WOC/V/L022/WN/RK;089415; 2 683 308 ; 2 236 090 
Ноутбуки ASUS;Asus EEE PC X101CH N2600/320D/1G/RU/1G/WOC/V/L022/WN/UB KL;095438; 2 683 308 ; 2 236 090 
Ноутбуки ASUS;Asus EEE PC X101CH N2600/320D/1G/RU/1Q/WOC/V/L022/WN/RK;089418; 2 683 308 ; 2 236 090 
Ноутбуки ASUS;Asus EEE PC 1011CX N2600/320D/2G/RU/2B/WOC/V/L044/CN/RK;093084; 3 100 704 ; 2 583 920 
Ноутбуки ASUS;Asus EEE PC 1015BX C60/320D/2G/RU/2B/WOC/V/L052/WN/RK;091471; 3 243 816 ; 2 703 180 
Ноутбуки ASUS;Asus EEE PC 1011CX N2600/320D/2G/RU/2A/WOC/V/L044/CN/RK;093085; 3 398 856 ; 2 832 380 
Ноутбуки ASUS;Asus EEE PC 1025C N2800/320D/2G/RU/1A/WOC/V/L052/CN/RK;089420; 3 518 112 ; 2 931 760 
Ноутбуки ASUS;Asus EEE PC 1225C N2600/320D/2G/RU/2A/WOC/V/L052/CN;091477; 3 577 740 ; 2 981 450 
Ноутбуки ASUS;Asus EEE PC 1225C N2600/320D/2G/RU/6G/WOC/V/L052/CN;091476; 3 577 740 ; 2 981 450 
Ноутбуки ASUS;Asus EEE PC 1225C N2600/320D/2G/RU/6K/WOC/V/L052/CN;091475; 3 577 740 ; 2 981 450 
Ноутбуки ASUS;Asus EEE PC 1225B E450/500D/4G/RU/7G/WOC/V/L052/CN/RK;091941; 4 829 940 ; 4 024 950 
Ноутбуки ASUS;Asus EEE PC 1225B E450/500D/4G/RU/7J/WOC/V/L052/CN/RK;091876; 4 829 940 ; 4 024 950 
Ноутбуки ASUS;Asus EEE PC 1225B E450/500D/4G/RU/7K/WOC/V/L052/CN/RK;091940; 4 829 940 ; 4 024 950 
Ноутбуки ASUS;ASUS X53U (K53u) E450/3BG5/2G/RU/1BSX/8SL/V/WN/DS KL;080386; 3 423 144 ; 2 852 620 
Ноутбуки ASUS;ASUS X54C (K54C) B815/3BG5/2G/RU/5KSX/8SL/V/WN/DS KL;089421; 3 577 740 ; 2 981 450 
Ноутбуки ASUS;ASUS X54H (K54HR) B815/3BG5/2G/RU/5KSX/8SL/V/WN/DS KL;093694; 3 816 252 ; 3 180 210 
Ноутбуки ASUS;ASUS X53B (K53BR) E450/3BG5/2G/RU/1BSX/8SL/V/WN/DS KL;085590; 3 864 840 ; 3 220 700 
Ноутбуки ASUS;ASUS X501A B970/5AG5/2G/RU/1AXX/WOC/V/WI4/DS;096880; 3 875 880 ; 3 229 900 
Ноутбуки ASUS;ASUS X54C (K54C) B960/3BG5/2G/RU/5KSX/8SL/V/WN/DS;097753; 3 935 508 ; 3 279 590 
Ноутбуки ASUS;ASUS X301A B970/3BG5/2G/RU/1ARX/WOC/V/WF/DS;096882; 4 054 764 ; 3 378 970 
Ноутбуки ASUS;ASUS X301A B970/3BG5/2G/RU/1BRX/WOC/V/WF/DS;096881; 4 054 764 ; 3 378 970 
Ноутбуки ASUS;ASUS K54HR B970/3BG5/2G/RU/5KSX/8SL/V/WN/DS;095442; 4 174 032 ; 3 478 360 
Ноутбуки ASUS;ASUS X55VD B970/3BG5/2G/RU/7KSX/8SL/V/WF/DS;096872; 4 174 032 ; 3 478 360 
Ноутбуки ASUS;ASUS K43E  B970/3BG5/2G/RU/3DVX/8SL/V/WN/DS;095348; 4 293 288 ; 3 577 740 
Ноутбуки ASUS;ASUS K53E B960/3BG5/2G/RU/3DSX/8SL/V/WC3/DS G;089902; 4 293 288 ; 3 577 740 
Ноутбуки ASUS;ASUS K43TK 3305M/3BG5/4G/RU/1AVX/8SL/V/WC3/DS;095432; 4 949 208 ; 4 124 340 
Ноутбуки ASUS;ASUS U32U E450/3BG5/4G/RU/1ARX/WOC/V/WC3/RD KL;089423; 5 187 720 ; 4 323 100 
Ноутбуки ASUS;ASUS K53E 2330M/5AG5/3G/RU/3DSX/8SL/V/WC3/DS KL;083864; 5 247 348 ; 4 372 790 
Ноутбуки ASUS;ASUS K53E 2350M/3BG5/4G/RU/3DSX/8SL/V/WC3/DS;093598; 5 247 348 ; 4 372 790 
Ноутбуки ASUS;ASUS K53TA 3300M/5AG5/3G/RU/1BSX/8SL/V/WC3/DS;084220; 5 247 348 ; 4 372 790 
Ноутбуки ASUS;ASUS K53TK 3305M/3BG5/4G/RU/1BSX/8SL/V/WC3/DS;093174; 5 247 348 ; 4 372 790 
Ноутбуки ASUS;ASUS K43E 2350M/3BG5/4G/RU/3DVX/8SL/V/WC3/DS;093712; 5 306 976 ; 4 422 480 
Ноутбуки ASUS;ASUS K43TK 3420M/5AG5/4G/RU/1AVX/8SL/V/WC3/DS;095433; 5 366 604 ; 4 472 170 
Ноутбуки ASUS;ASUS K53TK 3305M/3BG5/3G/RU/1BSX/8SL/V/WC3/DS;091211; 5 366 604 ; 4 472 170 
Ноутбуки ASUS;ASUS K55A 3110M/3BG5/4G/RU/3CSX/8SL/V/WI4/DS;096832; 5 426 232 ; 4 521 860 
Ноутбуки ASUS;Asus K53SD 2350M/3BG5/4G/RU/3DSX/8SL/V/WC3/DS;093177; 5 664 756 ; 4 720 630 
Ноутбуки ASUS;ASUS K43E 2450M/3BG5/4G/RU/3DVX/8SL/V/WC3/DS;093713; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;ASUS K43SD 2350M/3BG5/4G/RU/3DVX/8SL/V/WC3/DS;093706; 5 724 384 ; 4 770 320 
Ноутбуки ASUS;ASUS K53E 2450M/5AG5/4G/RU/3DSX/8SL/V/WC3/DS;093594; 5 903 268 ; 4 919 390 
Ноутбуки ASUS;ASUS K55VD 3110M/3BG5/4G/RU/3CSX/8SL/V/WI4/DS;096830; 5 962 896 ; 4 969 080 
Ноутбуки ASUS;ASUS K55DR 4500M/7BG5/6G/RU/1ASX/8SL/V/WI4/DS;095446; 6 022 524 ; 5 018 770 
Ноутбуки ASUS;ASUS K55A 3210M/5AG5/4G/RU/3CSX/8SL/V/WI4/DS;093640; 6 082 152 ; 5 068 460 
Ноутбуки ASUS;ASUS K43SD 2450M/3BG5/4G/RU/3DVX/8SL/V/WC3/DS;093709; 6 261 036 ; 5 217 530 
Ноутбуки ASUS;ASUS K45VD 3210M/3BG5/4G/RU/3DVX/8SL/V/WI4/DS;095434; 6 857 328 ; 5 714 440 
Ноутбуки ASUS;ASUS K45VD 3210M/5AG5/4G/RU/3DVX/8SL/V/WI4/DS;096827; 6 857 328 ; 5 714 440 
