categories;product_name;product_code;price_value;product_vendor_id;price_currency_id;product_published
USB Flash Drive SanDisk;SanDisk Memory Vault USB2.0 Flash Drive 8Gb (RTL);n127134;460841.61;1005;20;1
USB Flash Drive SanDisk;SanDisk Ultra Backup USB2.0 Flash Drive 32Gb (RTL);n104560;322151.43;1005;20;1
USB Flash Drive SanDisk;SanDisk Ultra Backup USB2.0 Flash Drive 8Gb (RTL);n104558;83743.329;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Blade USB2.0 Flash Drive 16Gb (RTL);n113308;119967.78;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Blade USB2.0 Flash Drive 8Gb (RTL);n109288;67423.695;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Blade USB2.0 Flash Drive 4Gb (RTL);n113306;46533.777;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Edge USB2.0 Flash Drive 4Gb (RTL);n113266;49673.955;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Slice USB2.0 Flash Drive 64Gb (RTL);n125664;428398.44;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Slice USB2.0 Flash Drive 32Gb (RTL);n104510;255983.58;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer Slice USB2.0 Flash Drive 8Gb (RTL);n104508;70206.39;1005;20;1
USB Flash Drive SanDisk;SanDisk Cruzer USB2.0 Flash Drive 4Gb (RTL);n104494;51645.114;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Ultima-II <SP064GBUF2M01V1S> USB2.0 Flash Drive 64Gb (RTL);n139423;446959.89;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Touch T02 <SP016GBUF2T02V1N> USB2.0 Flash Drive 16Gb (RTL);n139428;118711.5;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Touch T02 <SP008GBUF2T02V1N> USB2.0 Flash Drive 8Gb (RTL);n139430;70206.39;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Touch T02 <SP008GBUF2T02V1O> USB2.0 Flash Drive 8Gb (RTL);n139429;70206.39;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Touch T02 <SP004GBUF2T02V1O> USB2.0 Flash Drive 4Gb (RTL);n139431;53886.756;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Touch T01 <SP016GBUF2T01V1K> USB2.0 Flash Drive 16Gb (RTL);n127479;121851.33;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Blaze B10 <SP032GBUF3B10V1B> USB3.0 Flash Drive 32Gb (RTL);n127924;316054.47;1005;20;1
USB Flash Drive Silicon Power;Silicon Power Ultima U03 <SP016GBUF2U03V1W> USB2.0 Flash Drive 16Gb (RTL);n141076;114498.09;1005;20;1
