Код;Наименование;Склад;Валюта;Цена1;Цена2;Цена3;Цена4;Гар.
ПРОДУКЦИЯ APPLE;;;;;;;;
Устройства  APPLE;;;;;;;;
Ноутбуки APPLE MacBook;;;;;;;;
99850;"Ноутбук APPLE MacBook Air | Dual-Core i5 1.7GHz | 11,6"" | 4 Gb | 128Gb flash | HD Graphics 4000 | WiFi | BT | CAM | MacOS (MD224RS/A)";+;руб.;39521,22;39140,46;38762,82;38382,06;12СЦ
99849;"Ноутбук APPLE MacBook Air | Dual-Core i5 1.7GHz | 11,6"" | 4 Gb | 64Gb flash | HD Graphics 4001 | WiFi | BT | CAM | MacOS (MD223RS/A)";+;руб.;36921,43;36565,64;36212,96;35857,17;12СЦ
99852;"Ноутбук APPLE MacBook Air | Dual-Core i5 1.8GHz | 13"" | 4 Gb | 128Gb flash | HD Graphics 4000 | WiFi | BT | CAM | MacOS (MD231RS/A)";+;руб.;42639,1;42230,25;41821,4;41409,43;12СЦ
99853;"Ноутбук APPLE MacBook Air | Dual-Core i5 1.8GHz | 13"" | 4 Gb | 256Gb flash | HD Graphics 4000 | WiFi | BT | CAM | MacOS (MD232RS/A)";+;руб.;55119,98;54589,41;54061,96;53531,39;12СЦ
99845;"Ноутбук APPLE MacBook Pro | Dual-Core i5 2.5GHz | 13,3""WXGA+ | 4 Gb | 500 | HD Graphics | SD (MD101RS/A)";+;руб.;43887,5;43466,17;43041,71;42620,38;12СЦ
99847;"Ноутбук APPLE MacBook Pro | Dual-Core i7 2.3GHz | 15""WXGA+ | 4 Gb | 500 | HD Graphics | GeForce GT 650M 512MB | SD (MD103RS/A)";+;руб.;66767,55;66124,63;65481,7;64841,9;12СЦ
99848;"Ноутбук APPLE MacBook Pro | Dual-Core i7 2.6GHz | 15""WXGA+ | 8 Gb | 750 | HD Graphics | GeForce GT 650M 1GB | SD (MD104RS/A)";+;руб.;82263,32;81470,58;80680,97;79888,24;12СЦ
93333;"Ноутбук APPLE MacBook Pro | Dual-Core i7 2.8GHz | 13,3""WXGA+ | 4 Gb | 750 | HD Graphics | SD (MD314RS/A)";+;руб.;47320,6;46864,94;46412,39;45956,72;12СЦ
99846;"Ноутбук APPLE MacBook Pro | Dual-Core i7 2.9GHz | 13,3""WXGA+ | 8 Gb | 750 | HD Graphics | SD (MD102RS/A)";+;руб.;55119,98;54589,41;54061,96;53531,39;12СЦ
101623;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.2GHz | 15""WXGA+ | 4 Gb | 500 | HD Graphics | Radeon HD6770M 512Mb | SD (MD318RS/A)";-;руб.;57719,77;57164,24;56611,82;56056,28;12СЦ
87963;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.2GHz | 15""WXGA+ | 4 Gb | 750 | HD Graphics | Radeon HD6750M | SD | Antiglare (MC723ARS/A)";+;руб.;93598,79;92699,94;91801,09;90899,12;12СЦ
87964;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.2GHz | 15""WXGA+ | 4 Gb | 750 | HD Graphics | Radeon HD6750M | SD | HiRes (MC723HRS/A)";+;руб.;93598,79;92699,94;91801,09;90899,12;12СЦ
100270;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.3GHz | 15"" Retina | 8 Gb | 256Gb SSD | HD Graphics 4000 | GeForce GT 650M 1GB | SD (MC975RS/A)";+;руб.;82578,54;81782,68;80989,95;80194,1;12СЦ
92516;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.4GHz | 15""WXGA+ | 4 Gb | 750 | HD Graphics | Radeon HD6770M | SD (MD322RS/A)";+;руб.;74357,82;73643,12;72928,41;72213,7;12СЦ
92515;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.4GHz | 17""WXGA+ | 4 Gb | 750 | HD Graphics | Radeon HD6770M | SD (MD311RS/A)";-;руб.;90480,91;89610,15;88742,51;87871,76;12СЦ
100577;"Ноутбук APPLE MacBook Pro | Quad-Core i7 2.6GHz | 15.4"" Retina | 8 Gb | 512Gb SSD | HD Graphics 4000 | GeForce GT 650M 1GB | SD (MC976RS/A)";+;руб.;106600,88;105574,07;104550,38;103523,57;12СЦ
Неттопы  APPLE Mac Mini;;;;;;;;
102539;Неттоп APPLE Mac Mini | Intel Dual-Core i5 2,3GHz | 2 Gb | 500 | HD Graphics (MC815RS/A);-;руб.;27090,28;26834,36;26447,35;26188,31;12СЦ
102540;Неттоп APPLE Mac Mini | Intel Dual-Core i5 2,5GHz | 4 Gb | 500 | HD6630M (MC816RS/A);-;руб.;36119,33;35776,02;35261,06;34914,63;12СЦ
102541;Неттоп APPLE Mac Mini Server | Intel Quad-Core i7 2,0GHz | 4 Gb | Dual 500 | HD Graphics (MC936RS/A);-;руб.;45151,51;44720,81;44074,76;43647,18;12СЦ
Планшеты  APPLE iPad;;;;;;;;
100543;"Планшетный компьютер Apple iPad2 10"" 16Gb Wi-Fi + 3G, Белый (MC982RS/A)";+;руб.;19824,59;19637,33;19262,81;19075,55;12 СЦ
100544;"Планшетный компьютер Apple iPad2 10"" 16Gb Wi-Fi + 3G, Черный (MC773RS/A)";+;руб.;19824,59;19637,33;19262,81;19075,55;12 СЦ
100545;"Планшетный компьютер Apple iPad2 10""  16Gb Wi-Fi, Белый (MC979RS/A)";+;руб.;15052,58;14912,14;14628,13;14484,56;12 СЦ
100546;"Планшетный компьютер Apple iPad2 10""  16Gb Wi-Fi, Черный (MC769RS/A)";+;руб.;15052,58;14912,14;14628,13;14484,56;12 СЦ
101448;"Планшетный компьютер Apple iPad New 10"" 16Gb  Wi-Fi + Cellular , Белый (MD369RS/A)";+;руб.;23320,11;23098,52;22658,46;22439,99;12 СЦ
101445;"Планшетный компьютер Apple iPad New 10"" 16Gb  Wi-Fi + Cellular, Черный (MD366RS/A)";+;руб.;23320,11;23098,52;22658,46;22439,99;12 СЦ
101439;"Планшетный компьютер Apple iPad New 10"" 16Gb  Wi-Fi, Белый (MD328RS/A)";+;руб.;18707,27;18532,5;18179,83;18001,93;12 СЦ
101440;"Планшетный компьютер Apple iPad New 10"" 16Gb  Wi-Fi, Черный (MC705RS/A)";+;руб.;18707,27;18532,5;18179,83;18001,93;12 СЦ
101449;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi + Cellular , Белый (MD370RS/A)";+;руб.;27190,15;26934,23;26422,39;26163,34;12 СЦ
101446;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi + Cellular, Черный (MD367RS/A)";+;руб.;27190,15;26934,23;26422,39;26163,34;12 СЦ
101441;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi, Белый (MD329RS/A)";+;руб.;22580,44;22365,09;21940,63;21728,4;12 СЦ
