Категория; Имя продукта; Код продукта; Цена, бел.руб 
Часы настольные; Проекционные часы Oregon Scientific RM308Р (часы. календарь. будильник. регулируемая проекция); 86929/995; 268776.9; 
Часы настольные; Радиочасы Philips AJ3138/12; 87990/995; 310559.4; 
Часы настольные; Радиочасы Philips AJ3231/12; 87991/995; 266446.8; 
Чайники; Чайник Bosch TWK4701; 87674/995; 282328.2; 
Чайники; Чайник Bosch TWK6002; 87676/995; 339649.2; 
Чайники; Чайник Bosch TWK6004N; 87677/995; 337027.5; 
Чайники; Чайник Bosch TWK6005; 87678/995; 339676.2; 
Чайники; Чайник Philips HD4646/00; 87679/995; 300855.6; 
Чайники; Чайник Philips HD4649; 87680/995; 296443.8; 
Чайники; Чайник Philips HD4665; 87681/995; 623767.5; 
Чайники; Чайник Philips HD4677; 87682/995; 419960.7; 
Чайники; Чайник Philips HD4678; 87683/995; 407608.2; 
Чайники; Чайник Scarlett IS-500 стеклянный; 87690/995; 475545.6; 
Чайники; Чайник Tefal BF263A; 87684/995; 384752.7; 
Чайники; Чайник Tefal BF560140; 87685/995; 337027.5; 
Чайники; Чайник Tefal BF612040; 87686/995; 410526.9; 
Чайники; Чайник Tefal BF662340; 87687/995; 456135.3; 
Чайники; Чайник Tefal KO102140; 87688/995; 245273.4; 
Цифровые фоторамки; Фоторамка Transcend T.Photo 705W. 7" (TS-PF705W/TR-DPF705W) White; 86994/995; 526505.4; 
Вертолеты; Вертолет Func HGI-30. на ИК управлении 3-х канальный. гироскоп; 88966/995; 176985.0; 
Игровые приставки; Сенсор для XBOX 360 KINECT (LPF-00024) + игра Kinect Adventures; 84452/995; 1801602.0; 
Сувениры брелки; Настольная светодиодная лампа с регулятором яркости (L-022). 8 св/д. оранжевая. USB; 86354/995; 57531.6; 
Геймпады; Геймпад THRUSTMASTER FireStorm Digital Gamepad 3 (2960626); 13921/995; 70229.7; 
Цифровые фотокамеры Panasonic; Panasonic DMC-TZ25EE-K черный; 96509/995; 2978556.3; 
Цифровые фотокамеры Canon; Canon EOS 5D Mark II Kit 24-105L IS USM (21.1MPx. 3.0"LCD. CF); 79807/995; 26240579.1; 
Часы настольные; Цифровые часы Oregon Scientific RRM902 (часы. календарь. будильник. FM-радио. сенсорный дисплей. встроенный динамик. аудиовход); 86932/995; 755700.3; 
Цифровые термометры; Цифровой термометр Oregon Scientific RMR382 (температура. часы. календарь. будильник); 86928/995; 248524.2; 
Цифровые термометры; Цифровой термометр/проекционные часы Oregon Scientific RMR391P (температура. часы. календарь. будильник); 86927/995; 556880.4; 
