Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Электронные книги с экраном 6; Электронная Книга Prestigio PER5062B SiPix  6'' (800x600)/ Wi-Fi/ 2G/ Image/ Text/ Audio/ Black; 785467/3725; 1162720.00000; 
Web-камеры LOGITECH; Web-камера Logitech Webcam C905 2.0MPx/ 1600x1200/ USB; 782168/3725; 948865.00000; 
Web-камеры LOGITECH; Web-камера Logitech Webcam C600 2.0MPx/ 1600x1200/ USB; 782200/3725; 931134.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM620 2.0Mpx/ 1600x1280/ 30fps/ CMOS/ Mic/ USB/ Black-Blue; 788813/3725; 223531.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM613G 1.3Mpx/ 1280x960/ 30fps/ CMOS/ USB/ Starfish Software/ Black-Orange; 781550/3725; 164082.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM220 2.0MPx/ 1600x1200/ CMOS/ Mic/ USB/ Black-BLue; 784932/3725; 212592.00000; 
Web-камеры CANYON; Web-камера Canyon CNP-WCAM320 2.0MPx/ CMOS/ 1600x1200/ 30fps/ Mic/ USB/ Black-Silver; 788814/3725; 269299.00000; 
Web-камеры A4TECH; Web-камера A4Tech PK-8MJ 0.3MPx/ 640x480/ USB; 782591/3725; 234568.00000; 
Универсальные пульты ДУ; Универсальный пульт ДУ Logitech Harmony 600 Remote; 784961/3725; 834282.00000; 
Цифровые фоторамки; Цифровая фоторамка Philips SPF1307/10 / 7'' 480x234/ 300:1/ 250cd/m2/ 128Mb/ JPEG/ USB/ Black; 787160/3725; 876960.00000; 
Цифровые фотокамеры Canon; Canon PowerShot A800 10Mpx/ 1/2.3 (5.9x4.4)/ CCD/ LCD 2.5''/ 3/3X Zoom/Ni-MH (2xAA)/ Black/ СТБ; 789799/3725; 523440.00000; 
Цифровые фотокамеры Canon; Canon PowerShot A800 10Mpx/ 1/2.3 (5.9x4.4)/ CCD/ LCD 2.5''/ 3/3X Zoom/Ni-MH (2xAA)/ Silver/ СТБ; 789800/3725; 523440.00000; 
Цифровые фотокамеры Nikon; Nikon 1J1 Kit 10-30mm 10.1MPx/ 1/2.5 (5.8x4.3)/ CMOS/ LCD 3''/ Li-ion (EN-EL20)/ Black/ СТБ; 789258/3725; 6263999.00000; 
Цифровые фотокамеры Sony; Sony CyberShot DSC-T110/SC 16.1Mpx/ 1/2.3''/ CCD/ 2.7'' LCD/ 4xZoom/ NP-BN1/ Silver/ СТБ; 789409/3725; 2019935.00000; 
Цифровые фотокамеры Sony; Sony CyberShot DSC-W515PS/SC 12.1Mpx/ 1/2.3''/ CCD/ 2.5'' LCD/4xZoom/ NP-BN1/ Silver/ СТБ; 789411/3725; 1589890.00000; 
Цифровые фотокамеры Sony; Sony CyberShot DSC-WX30/NC 16.2Mpx/ 1/2.3''/ CMOS/ 2.7'' LCD/5xZoom/ AVCHD Full HD/ 3D/ Sweep Panorama/ NP-BN1/ Gold/ СТБ; 789414/3725; 2399155.00000; 
Web-камеры LOGITECH; Web-камера Logitech Webcam HD C310 5MPx/ 1280x720/ Mic/ USB; 784605/3725; 441731.00000; 
Web-камеры LOGITECH; Web-камера Logitech Webcam HD C525 1.3MPx/ 1280x720/ 30fps/ Mic/ USB; 789061/3725; 588974.00000; 
Web-камеры прочих производителей; Web-камера Philips SPC610NC 0.3Mpx/ CMOS/ 640x480/ USB 1.1; 782336/3725; 264547.00000; 
Чехлы; Кожух для видеокамеры D-Link DCS-60 со встроенным источником питания/ обогревателем и вентилятором для IP-камер Алюминий/ Белый; 786535/3725; 990828.00000; 
Мобильные телефоны Acer; Acer Liquid Mini E310 MSM7227(0.6)/ 512Mb/ 3.2''(640x480)/ WF/ BT/ 3G/ 5Mpx/ Android 2.2/ Black/ СТБ; 789151/3725; 2190927.00000; 
Мобильные телефоны HTC; HTC EVO 3D X515m 4.3''(540x960)/ 1.2GHz/ 1G/ 1G/ WF/ BT/ GPRS/ EDGE/ GPS/ HSPA/ 2xCamera/ Android 2.3/ СТБ; 789564/3725; 3816000.00000; 
Мобильные телефоны LG; LG GX200 TFT 262 тыс. цветов/ 2'' (144x176)/ камера 1.3 Мп/ видео 176x144 15fps/ Dual Sim/ GPRS/ Bluetooth (A2DP)/ 1500 mAh (Li-ion)/ Black/ СТБ; 789510/3725; 779286.00000; 
Мобильные телефоны LG; LG T300 Cookie Lite TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Black/ СТБ; 789669/3725; 745338.00000; 
Мобильные телефоны Samsung; Samsung C3300TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Black/ СТБ; 789672/3725; 813960.00000; 
Мобильные телефоны Samsung; Samsung C3300TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ White/ СТБ; 789671/3725; 810540.00000; 
Мобильные телефоны Samsung; Samsung C3322 Duos TFT 256 тыс. цветов/ 2.2'' (240x320)/ камера 2 Мп/ видео 176x144 15fps/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Black/ СТБ; 789674/3725; 819720.00000; 
Мобильные телефоны Samsung; Samsung C3520 La Fleur TFT 256 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 800 mAh (Li-ion)/ Pink/ СТБ; 789844/3725; 739500.00000; 
Мобильные телефоны Samsung; Samsung C3752 Duos TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 3 Мп/ видео 176x144/ Dual Sim/ GPRS/ EDGE/ Bluetooth/ 900 mAh (Li-ion)/ Red/ СТБ; 789845/3725; 1035000.00000; 
Мобильные телефоны Samsung; Samsung E1150 CSTN 65 тыс. цветов/ 1.4'' (128x128)/ 800 mAh (Li-ion)/ Silver/ СТБ; 789521/3725; 327888.00000; 
